topicid,word,count
0,controls,0.0025326297857306
0,tuner,0.00234209126482019
0,part,0.00209222525700781
0,description,0.00152235816187563
0,qty,0.00152235815523299
0,any,0.00107733128620527
0,to,0.00100448830502297
0,speakers,0.000975387935854532
0,in,0.000974869547840958
0,but,0.000932666129082895
0,you,0.00092973652859027
0,my,0.00092085685810124
0,and,0.00090544937095645
0,an,0.000899913601876806
0,just,0.000888585496837382
0,i,0.000879037613856121
0,it,0.000878671242503312
0,this,0.00087729781748028
0,will,0.000871693586236667
0,a,0.000862382313031841
1,thanx,0.0261216385429841
1,rear,0.00353373065897062
1,audio,0.0028996442711453
1,speaker,0.00271278907288843
1,cant,0.00271197653420602
1,as,0.00257976813588053
1,find,0.00219694499961874
1,na,0.00199627794254099
1,antenna,0.00197839846440807
1,purchased,0.00172054046190736
1,system,0.00165877475854576
1,picture,0.00165162669167968
1,wire,0.00154163489286381
1,negative,0.00147636239030559
1,solution,0.00145541522557399
1,right,0.00140652613645915
1,speakers,0.00129909440996695
1,15,0.00113090433841346
1,5a,0.00110845907002437
1,left,0.00108556970494322
2,i,0.0316128124832529
2,a,0.0266558286482294
2,it,0.0192012326359761
2,have,0.00993436684946171
2,to,0.00751691879033995
2,you,0.0074311360374032
2,in,0.00591012301598527
2,stereo,0.00549596493432982
2,cd,0.00541653912290835
2,my,0.00475096665636904
2,can,0.00454325056870735
2,radio,0.00449834374768974
2,changer,0.00361177955963012
2,if,0.00360939841027313
2,warning,0.00338056039222436
2,and,0.00336172981950167
2,s80,0.00310543466731344
2,that,0.00296986000588948
2,out,0.00264638890385294
2,but,0.00263036658668219
3,the,0.0855147785430495
3,to,0.0219417027811492
3,is,0.0193286865042808
3,and,0.0164094153216434
3,you,0.0110361412993465
3,radio,0.0107321998480904
3,it,0.00952744902285736
3,on,0.00900196509628025
3,that,0.00784190000396295
3,in,0.00778845376133255
3,with,0.00727688170399989
3,for,0.00696899827922048
3,ac,0.00690709455123462
3,of,0.00658752727309289
3,not,0.00640978225181114
3,be,0.00607801437898569
3,or,0.0058442473464221
3,did,0.00538242014210776
3,car,0.00483151594310061
3,antenna,0.00469879129569318
4,2,0.00387242381212506
4,amp,0.00295586764513363
4,code,0.00254322878097217
4,and,0.00233786044288661
4,mean,0.00214130266143273
4,button,0.0020160758721172
4,press,0.00185073719708916
4,hold,0.00181892648975283
4,wrong,0.00181277978674144
4,odometer,0.00165099228783664
4,what,0.00161061643252911
4,speakers,0.0015893581307723
4,just,0.0014862714190903
4,stock,0.001436713682887
4,ops,0.00141791035678546
4,hd,0.00141675047030475
4,fine,0.00121916236251724
4,an,0.0011987286036799
4,is,0.00118761418196202
4,synchronization,0.00112957133641104
